hbid_id,hbid_id_ds,basin_name,hbid_name,catchment,catchment_,area_km2,country,brazil_UF,basin_ID
5214,5212,Amazon,Siapa,c5214,c5212,22070.815814242087,Venezuela,AM,AMZ_OTCA
5222,5220,Amazon,Caqueta 1,c5222,c5220,19854.739003955718,Colombia,AM,Caqueta_Japura
5228,5227,Amazon,Caguan,c5228,c5227,21181.29631285491,Colombia,,Caqueta_Japura
5229,5227,Amazon,Orteguaza,c5229,c5227,9782.07936872427,Colombia,,Caqueta_Japura
5230,5227,Amazon,Caqueta 3,c5230,c5227,10786.88806976261,Colombia,,Caqueta_Japura
5238,5235,Amazon,Putumayo 2,c5238,c5235,61939.09143533177,Colombia,,Putumayo_Ica
5232,5216,Amazon,Tefe,c5232,c5216,24268.873340309372,Brazil,AM,Main_AMZ
5240,5233,Amazon,Jurua 1,c5240,c5233,61898.64367672336,Brazil,AM,Main_AMZ
5252,5246,Amazon,Pastaza,c5252,c5246,42270.63473511134,Ecuador,,Maranon
5258,5257,Amazon,Chinchipe,c5258,c5257,9756.161636785288,Peru,,Maranon
5262,5261,Amazon,Zamora,c5262,c5261,11336.84324864558,Ecuador,,Maranon
5263,5261,Amazon,Namangoza,c5263,c5261,11069.214684967534,Ecuador,,Maranon
5264,5257,Amazon,Maranon 3,c5264,c5257,52409.572209843005,Peru,,Maranon
5274,5273,Amazon,Mantaro,c5274,c5273,34535.048536644324,Peru,,Ucayali
5275,5273,Amazon,Apurimac,c5275,c5273,41441.50227896706,Peru,,Ucayali
5276,5275,Amazon,Pampas,c5276,c5275,23219.67555571728,Peru,,Ucayali
5277,5270,Amazon,Urubamba,c5277,c5270,59359.4821399101,Peru,,Ucayali
5287,5285,Amazon,Aguarico,c5287,c5285,13344.796022343253,Ecuador,,Napo
5288,5285,Amazon,Napo 2,c5288,c5285,31083.111320122778,Ecuador,,Napo
6003,-999,Tocantins,Jacunda,c6003,outlet,10886.827599110478,Brazil,PA,AMZ_OTCA
6030,6029,Tocantins,Parana,c6030,c6029,42251.76417717681,Brazil,GO,Tocantins
6037,6034,Tocantins,Sono 2,c6037,c6034,18492.309385749948,Brazil,TO,Tocantins
6047,-999,Tocantins,Foz Tocantins North,c6047,outlet,3739.8155760212994,Brazil,PA,AMZ_OTCA
7010,-999,"North Brazil, South Atlantic Coast",Itapecuru,c7010,outlet,52817.460762867115,Brazil,MA,AMZ_OTCA
8008,8006,Parnaiba,Balsas,c8008,c8006,25536.909620463943,Brazil,MA,AMZ_OTCA
8015,8006,Parnaiba,Paranaiba 3,c8015,c8006,35675.273166857914,Brazil,MA,AMZ_OTCA
12083,12081,La Plata,Taquari 2,c12083,c12081,11853.495188465089,Brazil,MS,AMZ_OTCA
12086,12084,La Plata,Itiquira 1,c12086,c12084,6056.893647072855,Brazil,MT,AMZ_OTCA
12088,12086,La Plata,Itiquira 2,c12088,c12086,10930.052877310676,Brazil,MT,AMZ_OTCA
12091,12076,La Plata,Corixa Grande 1,c12091,c12076,28785.68655166593,Brazil,MT,AMZ_OTCA
